id,title,domain,severity,effort,files,evidence,recommendation,cve
CICD-01,Compat matrix points at nonexistent src/tests and unsupported Python,cicd,High,S,.github/workflows/python-compatibility.yml,"python-compatibility.yml:9-21,40-46 filters paths src/** and tests/** and sets source-directory 'src' but repo has no top-level src/ or tests/; matrix includes Python 3.12/3.13 while pyproject pins >=3.10,<3.12.","Point source-directory, path filters, and test command at DeQA-Score/; drop 3.12/3.13 until torch upgrade.",
CICD-02,"Production code linted only by local pre-commit, never in CI",cicd,High,S,.pre-commit-config.yaml;.github/workflows/ci.yml,ruff on DeQA-Score/src/uncertainty/ exists only in .pre-commit-config.yaml:79-88; no workflow runs pre-commit (grep empty); CI ruff targets results/ only.,Add a blocking CI job running pre-commit run --all-files or scoped ruff on src/uncertainty/.,
DOC-01,Documented 'from src import Scorer' raises AttributeError,docs,High,S,CLAUDE.md;DeQA-Score/README.md;DeQA-Score/src/__init__.py,CLAUDE.md:42 and README.md:103 show 'from src import Scorer'; src/__init__.py __getattr__ returns only MPLUGOwl2LlamaForCausalLM and raises AttributeError otherwise; Scorer is in src/evaluate/scorer.py:14.,Re-export Scorer in src/__init__.py or fix both docs to 'from src.evaluate.scorer import Scorer'.,
ARCH-02,Dimension name split: color vs color_fidelity,architecture,High,S,research/papers/shared/constants.py;DeQA-Score/src/uncertainty/pseudo_label.py;modal/siglip2_v2_model.py,"research/papers/shared/constants.py:18 uses 'color_fidelity'; pseudo_label.py:27, siglip2_v2_model.py:30, run_sweep.py:48, results/siglip2_v2_pseudo_label_validation/*.py use 'color'. Dicts keyed on one spelling miss the other.","Add canonical DIMENSIONS to src/constants.py (use 'color'), import everywhere, fix the color_fidelity spelling.",
ARCH-01,Quality-level constants re-declared in 9+ modules,architecture,High,M,DeQA-Score/src/uncertainty/cross_validator.py;DeQA-Score/src/uncertainty/format_training_data.py;DeQA-Score/src/expansion/iqa_to_deqa.py;modal/run_deqa_ocr_iqa.py;research/ocr_iqa_correlation/deqa/scorer_wrapper.py,"LEVEL_NAMES = [excellent,good,fair,poor,bad] redefined verbatim in 7+ modules outside src/constants.py:16, which already exports it and is imported by the core.",Import LEVEL_NAMES/LEVEL_PREFIX from src.constants in the satellite modules and delete local copies.,
CQ-01,No real coverage measurement despite a coverage pipeline,code-quality,High,M,.github/workflows/coverage.yml;.github/workflows/ci.yml;.github/workflows/python-compatibility.yml,coverage.yml:30-33 downloads coverage-reports/coverage.xml on CI success but ci.yml runs no pytest and uploads no coverage artifact; python-compatibility.yml:46 sets coverage-report:false. No coverage figure exists.,"Run the non-torch test subset in CI with pytest --cov and upload coverage.xml, or remove coverage.yml.",
DEP-01,Core ML stack pinned to 2-3 year old releases,dependencies,High,L,DeQA-Score/pyproject.toml,"pyproject.toml:16-29: torch==2.0.1 (2023-05-08), transformers==4.36.1 (2023-12-18), accelerate==0.21.0 (2023-07), peft==0.4.0 (2023-07), scikit-learn==1.2.2 (2023-03), timm==0.6.13 (2023-01); all >18 months as of 2026-05-29.","Keep pins (required/documented) but track the model-stack migration as a dated epic, not an open deferral.",
DEP-02,torch 2.0.1 caps runtime at Python 3.11 / CUDA 11.8,dependencies,High,L,DeQA-Score/pyproject.toml,"pyproject.toml:11 requires-python >=3.10,<3.12; torch 2.0.1 cu118 wheels only for py3.8-3.11. Python 3.10 EOL 2026-10 (~5 months out). CUDA 11.8 two generations behind.",Plan the 3.12 move with the torch upgrade; do not let 3.10 reach EOL as the floor. Document CUDA 11.8 in README.,
LEG-01,Vendored transformers internals coupled to the transformers==4.36.1 pin,legacy-code,High,L,DeQA-Score/src/model/modeling_llama2.py;DeQA-Score/src/model/modeling_attn_mask_utils.py;DeQA-Score/src/model/modeling_mplug_owl2.py,"modeling_llama2.py:14-23,35 imports private transformers.models.llama symbols and does 'import *'; :859 monkeypatches LlamaFlashAttention2; modeling_attn_mask_utils.py is a verbatim HF copy. pyproject.toml:18 pins transformers==4.36.1; any bump breaks these.",Record the exact transformers version these internals track in a code comment; do not unvendor without re-running training.,
DEP-03,research/ocr_iqa_correlation has no lockfile,dependencies,Medium,S,research/ocr_iqa_correlation/pyproject.toml,"No research/ocr_iqa_correlation/uv.lock; ranged deps (jiwer>=3.0, datasets>=2.14, docling>=2.0, google-cloud-vision>=3.0) make builds non-reproducible.","Run uv lock and commit the lockfile, or fold deps into a root optional extra.",
LEG-02,sys.path.insert import hack in vendored model loader,legacy-code,Medium,S,DeQA-Score/src/model/modeling_llama2.py,"modeling_llama2.py:30-31 inserts dir into sys.path before a try/except relative import of .modeling_attn_mask_utils; the relative import already works, making the insert redundant.",Remove the redundant sys.path insert if the file is ever touched.,
SEC-01,No git-history secret scan and no detect-secrets baseline,security,Medium,S,.pre-commit-config.yaml;.github/workflows/ci.yml,.pre-commit-config.yaml:34-40 trufflehog scans staged files only; CI uses a regex grep not a scanner; no .secrets.baseline exists. A secret committed earlier or in a missed file type is not caught.,Add a CI job running trufflehog/gitleaks in full-history mode on push to main.,
CICD-03,CI ruff/bandit gates are advisory-only,cicd,Medium,S,.github/workflows/ci.yml,"ci.yml ruff-format, ruff-lint, and bandit steps end in '|| echo ""::warning::""', so failures become annotations and the job still passes. Only the secret grep and .env check can fail.",Drop the '|| echo' fallback on at least the ruff lint step so lint regressions block merge.,
CICD-04,Redundant coverage uploaders consuming a missing artifact,cicd,Medium,S,.github/workflows/coverage.yml;.github/workflows/qlty.yml,coverage.yml:18-33 and qlty.yml:13-27 both trigger on workflow_run CI completed and both call python-qlty-coverage.yml with coverage-artifact-name coverage-reports; CI produces no such artifact.,Delete one workflow; make the survivor depend on a CI step that emits coverage.xml.,
CICD-05,Contradictory CodeQL setup instructions,cicd,Medium,S,.github/workflows/ci.yml;.github/workflows/codeql.yml,"ci.yml comment says default setup handles CodeQL and forbids an advanced config; codeql.yml is an advanced config (init+analyze, security-extended) and says default setup must be DISABLED. The two cannot both hold.",Confirm default setup is disabled and delete the stale contradicting comment in ci.yml.,
CICD-06,Mutable @main reference for a reusable workflow,cicd,Medium,S,.github/workflows/qlty.yml;.github/workflows/coverage.yml,qlty.yml:14 and coverage.yml:26 reference python-qlty-coverage.yml@main (mutable) while compatibility/security/scorecard workflows pin their org reusable workflows to a SHA.,Pin the qlty/coverage reusable workflow to a commit SHA and let Renovate bump it.,
DOC-02,Documented GEMINI_API_KEY unused; ANTHROPIC_API_KEY undocumented,docs,Medium,S,CLAUDE.md;.env.example,"CLAUDE.md:157 says VLM scripts require GEMINI_API_KEY; git grep GEMINI in *.py returns 0. Code reads ANTHROPIC_API_KEY, OPENROUTER_API_KEY, GCP_SA_KEY, GOOGLE_APPLICATION_CREDENTIALS, ADOBE_CLIENT_ID/SECRET.",Update CLAUDE.md and .env.example to the env vars the code reads; remove or wire up GEMINI_API_KEY.,
DOC-03,Prior review report reads as live but findings persist,docs,Medium,S,PROJECT_REVIEW_REPORT.md,PROJECT_REVIEW_REPORT.md dated 2026-03-09 claims 8 critical/10 high and names constants-in-5-7-locations as top finding; still present 2.5 months later (ARCH-01/02). No resolution-status column.,"Add a status column or date each finding's state, or move the report under docs/audit/.",
DOC-04,Llamafactory patch-apply process underdocumented,docs,Medium,S,CLAUDE.md;Llamafactory/,CLAUDE.md describes Llamafactory/ files as patches to copy into a LLaMA-Factory install but gives no target commit and no apply steps; the Qwen backend is not reproducible from this.,Add the pinned LLaMA-Factory commit and a copy/apply command to the Qwen section of CLAUDE.md.,
DEP-04,Manual transitive-floor list with no automated check,dependencies,Medium,M,DeQA-Score/pyproject.toml,"pyproject.toml:30-50 pins 11 transitive security floors by hand (idna, pillow, GitPython, h11, certifi, pygments, requests, starlette, urllib3, filelock). No automated check keeps the list ahead of new advisories.",Add a scheduled osv-scanner/pip-audit job against uv.lock to flag when a new floor is needed.,
CQ-03,Duplicated experiment-harness scaffolding,code-quality,Medium,M,research/;results/;modal/,"Repeated main() bodies (arg parse, env load, model x image loop, JSON write, markdown table) across results/vlm_teacher_eval/run_eval.py, full_eval/run_full_diqa_eval.py, research/vlm_calibration/evaluate_calibration.py; reset_parameters monkeypatch copied in modal/benchmark_synthetic_ood.py:707-708 and run_deqa_ocr_iqa.py:271-272.",Extract a shared runner if more eval arms are coming; otherwise accept the duplication.,
ARCH-03,Satellite tiers reach the core via 35 sys.path inserts,architecture,Medium,M,research/;results/;modal/,git grep counts 35 sys.path.insert/append in new code; run_sweep.py:39-43 inserts a path then imports from src.uncertainty with # noqa: E402. The core is not installed as a package.,Install DeQA-Score as an editable package in the research/modal environments so imports resolve without path hacks.,
ARCH-05,"Qwen backend relies on copy-into-install patching, no pinned commit",architecture,Medium,M,Llamafactory/src/llamafactory/,CLAUDE.md states Llamafactory/ files are patches to copy into a LLaMA-Factory install; no pinned upstream version and no apply step. Patches break silently if upstream refactors the touched files.,Pin the exact LLaMA-Factory commit and add a one-line apply script.,
CQ-02,High-complexity functions in experiment scripts,code-quality,Medium,L,modal/;results/;research/,"ruff --select C901 (threshold 10) reports 40 functions over the limit, 37 in research/results/modal. Worst: dry_run_check (30), train (27), main (27,24), run_evaluations (23), compute_all_metrics (22), run_deqa_scoring (22). Only 3 are in src/.",Refactor the 3 in src/ when next touched; leave the run-once script tier as-is.,
SEC-02,Pinned dependencies with open CVEs (trusted-input control),security,Medium,L,DeQA-Score/pyproject.toml;docs/known-vulnerabilities.md,known-vulnerabilities.md lists 32 transformers advisories and deepspeed RCE GHSA-8cp5-3rf8-8gfh (allowlisted in dependency-review.yml). Reachable only via malicious model/tokenizer files; project loads only its own trusted artifacts.,"Compensating control holds; keep documented, hold to 2026-07-27 reassessment. Not Critical (no untrusted-input path).",CVE-2024-3568;CVE-2025-5197;GHSA-8cp5-3rf8-8gfh
DEP-05,No SBOM generated,dependencies,Low,S,.github/workflows/,No workflow emits CycloneDX/SPDX/syft output; grep matches only reuse.yml (license) and dependency-review.yml (PR diff). No artifact inventories the resolved dependency graph.,Add a CycloneDX SBOM step from uv.lock if release provenance matters. Low priority for an internal fork.,
LEG-04,os.path where pathlib fits (new code),legacy-code,Low,S,modal/;DeQA-Score/src/uncertainty/,"Per-dir os.path counts: modal/ 7 hits, uncertainty/ 2; research and results are pathlib-first (0 os.path). Only modal/ and uncertainty/ mix both.",Convert residual os.path calls in modal/ and uncertainty/ to pathlib.Path. Upstream exempt.,
LEG-05,Bare except clauses in upstream inference/data paths,legacy-code,Low,S,DeQA-Score/src/datasets/utils.py;DeQA-Score/src/evaluate/iqa_eval.py;DeQA-Score/src/evaluate/iqa_eval_qwen.py,"3 bare 'except:' at datasets/utils.py:26, iqa_eval.py:100, iqa_eval_qwen.py:126, catching KeyboardInterrupt/SystemExit.",Narrow to 'except Exception:' if these files are ever modified.,
LEG-06,'.format()' residue in new code,legacy-code,Low,S,research/threshold_sensitivity/run_sweep.py;results/vlm_teacher_eval/prompts.py;DeQA-Score/src/uncertainty/format_training_data.py,"Real %-formatting in new code = 0. .format() survives in 5 spots; run_sweep.py:760,923 could be f-strings; the template-based .format() calls (prompts.py:71, format_training_data.py:89) are idiomatic.",Optionally convert the two run_sweep.py lines to f-strings; keep template .format() calls.,
LEG-07,"pydantic v1 API (deliberate, documented)",legacy-code,Low,S,DeQA-Score/src/uncertainty/metadata_schema.py;DeQA-Score/src/uncertainty/metadata_io.py,"metadata_schema.py:12 docstring states v1 API for pydantic<2 pin; :24 imports validator; metadata_io.py uses .dict() at 130,147,154,156,162,166,169. pyproject.toml:25 pins pydantic<2 for mPLUG-Owl2.",No change now; migrate validator->field_validator and .dict()->.model_dump() when the pin lifts (track with LEG-01).,
CQ-04,type-ignore/noqa escape hatches (justified),code-quality,Low,S,DeQA-Score/tests/uncertainty/;Llamafactory/src/llamafactory/data/loader.py,"19 type: ignore and 6 noqa, all reason-coded: frozen-dataclass test mutations ([misc]), optional-import stubs in vendored Llamafactory (loader.py:122-142), dict typing in research, E402 after sys.path inserts, one S301 on a self-owned pickle.",No action; localized and reason-coded.,
CQ-05,TODO/FIXME debt small and old,code-quality,Low,S,DeQA-Score/src/train/train_mem.py;modal/benchmark_synthetic_ood.py,"14 markers total, 10 in vendored upstream. Oldest actionable: train_mem.py:488 'TODO I dont like auto resume << REMOVE IT' dates to 2025-07-10 (~10.5 months). modal/benchmark_synthetic_ood.py:1087 is the only new-code marker.",Resolve or delete the train_mem.py:488 auto-resume TODO; upstream markers stay.,
CQ-06,Assert-based validation in data/inference paths,code-quality,Low,S,DeQA-Score/src/datasets/pair_dataset.py;DeQA-Score/src/datasets/single_dataset.py;DeQA-Score/src/mm_utils.py,"ruff S101 reports 88 asserts; most are in tests. 3 are control-flow asserts in data/inference paths (pair_dataset.py:125, single_dataset.py:79, mm_utils.py:101) that python -O strips.",Raise explicit exceptions instead of asserts in the 3 data-path sites. Low risk (training rarely uses -O).,
